
1	
A 44-year- old super-morbidly- obese man body mass index (BMI 63) underwent sleeve gastrectomy for weight loss and was found to have multiple adenomatous fundic gland polyps on final pathology. Subsequent workup included esophagogastroduodenoscopy which revealed innumerable polyps of the remaining gastric fundus and body consistent with fundic gland polyps, normal duodenum without polyps, and Barrett’s oesophagus. Colonoscopy was significant for innumerable polyps of varying sizes up to 1.5 cm throughout the colon, with relative rectal sparing. Biopsies were consistent with tubular adenoma and hyperplastic polyps. Thyroid ultrasound was within normal limits and abdominal CT was significant for left-sided 3.4 cm mesenteric mass representing scarring versus possible desmoid. Family history was significant for colon cancer diagnosed in his maternal grandfather at age 72, paternal grandmother who died of metastatic cancer at age 50 with unknown primary and mother diagnosed with thyroid cancer at age 40. Physical examination was notable for morbid obesity (BMI 45), cardiopulmonary examination within normal limits and abdomen with well-healing surgical scars from prior sleeve gastrectomy.
obesity 	HP:0001513
innumerable polyps	HP:0004394
colonic tubular adenoma	HP:0005227
colonic polyp hyperplasia 	HP:0012183
super-morbid obesity	HP:0025501
mesenteric mass 	HP:0031500
multiple adenomatous fundic gland polyps	HP:0033769
Barret's esophagus	HP:0100580

2	
A 32-year-old man presented to a regional general surgical unit for severe symptomatic anaemia. Within a span of 4 months his haemoglobin dropped by 62 points from 137 gL (N: 135–180 gL). His medical history included epilepsy on Valproate, heart arrhythmia on Flecainide, carpal tunnel syndrome and C5 nerve root compression. He is a non-smoker, rare alcohol user, has two dogs at home, and two children. His family history included his grandfather who had bowel cancer diagnosed at 78 years old, and a grandmother with breast cancer. The first imaging modality was a CT scan showing a large fungating mass in the body of the stomach extending into the pylorus and first part of the duodenum. He underwent upper gastrointestinal endoscopy (UGE) to investigate the pathology. Histopathology frequently returned as benign hyperplastic tissue. The first histopathology results reported gastric mucosa with minor foveolar hyperplasia, stromal oedema with minor increase in chronic inflammatory cells. There was no evidence of helicobacter organisms, active gastritis or atypia. Initial scope findings showed carpet-like polyps lining the gastric antrum and body. On a second UGE, tunnel biopsies were performed, showing the carpet-like polyps have progressed into the first part of the duodenum, in comparison to previous UGE The biopsy returned as Helicobacter heilmannii-associated chronic gastritis with hyperplastic changes of fundic gland polyp. Serum ANA, ANCA, antiparietal cell antibodies, Cytomegalovirus infection serology, hepatitis panel, serum protein electrophoresis, Helicobacter serology and CA 72–4 tumour marker were ordered. Results came back negative except for a positive Helicobacter IgG serology. H. heilmannii was treated with two courses of Helicobacter eradication regime. Repeat UGE, 2 months later, showed no evidence of Helicobacter organism. Histopathology results were hyperplastic gastric polyp with background of mild chronic inflammation. Repeat UGE 3 months after the initial UGE showed Paris classification 0-Isp in the duodenum and the polyps have extended further into the oesophagus. An endoscopic mucosal resection was performed on the oesophageal polyp with histopathology returning as juvenile polyp. Narrow-band imaging of a polyp in the gastric body showed irregular microvascular and irregular microsurface pattern. A colonoscopy revealed two 2–3 mm polyps in the ascending colon and caecum, and one 5 mm semipedunculated polyp in the sigmoid colon. The colonic lesions resembled Kudo’s Pit pattern. Histopathology of caecum and descending colon polyps returned as inflammatory juvenile polyps. Capsule endoscopy revealed scattered 0–1 p small bowel polyps and areas of telangiectasia.
stromal oedema	HP:0000969
telangiectasia	HP:0001009
epilepsy	HP:0001250
anemia	HP:0001903
C5 nerve root compression	HP:0003406
foveolar hyperplasia 	HP:0004295
gastointestinal inflammation	HP:0004386
carpet-like polyps	HP:0004394
doudenal polyposis	HP:0004783
inflammatory juvenile polyposis	HP:0004784
positive helicobacter IgG serology	HP:0005202
chronic gastritis 	HP:0005231
gastric stromal edema 	HP:0005263
stomach mass 	HP:0006753
heart arrhythmia	HP:0011675
colon polyps	HP:0200063
carpal tunnel syndrome	HP:0012185
small bowel polyps 	HP:0012737
haemoglobin dropped	HP:0020062
irregular microvasculature 	HP:0025016
fundic polyps	HP:0033769

3	
In December 1990, a 24-year-old female was referred with recent onset blurred vision in the right eye. She had no previous ophthalmic history and was systemically well. There was also no family history of any eye diseases. Visual acuities were 3/60 right eye and 6/18 left eye. Posterior segment examination showed bilateral active retinal neovascularisation with vitreous haemorrhages in both eyes. There was no evidence of diabetes mellitus, and she had wide range of investigations, all of which were normal. She was labelled as idiopathic retinal neovascularisation. The patient was treated with bilateral panretinal photocoagulation and pars plana vitrectomy. Her vision and retinal status stabilised with acuities of 6/9 in the right eye and counting fingers in left eye after subsequent cataract surgery. In 2010 she was referred with a painless lump in her left breast for 2 months. She had a history of a previous benign right breast lump and thyroidectomy for a benign goiter 3 years ago. Family history revealed that her sister had had breast cancer at the age of 43 and her daughter a renal cell carcinoma at the age of 18 years. Biopsy showed an invasive carcinoma of the breast and after treatment with local excision, radiotherapy and tamoxifen went into remission. 
blurred vision	HP:0000622
goiter	HP:0000853
invasive carcinoma of the breast 	HP:0003002
vitreous haemorrhages	HP:0007902
bilateral active retinal neovascularisation	HP:0030666
painless breast lump	HP:0032408

4	
A 30-year-old man with a history of chronic abdominal pain episodes, constipation and rectal bleeding was seen at our unit. Physical examination revealed the presence of hyperchromic spots on the lips and in the mucosal palate, with no other relevant findings. His father was diagnosed with PJS at the age of 35 years. A colonoscopy was performed, revealing the presence of multiple sessile polypoid lesions of different sizes from 3 mm to 5 cm along the entire colon and terminal ileum. Histopathology reported multilobulated polyps with a papillary surface and branching bands of smooth muscle covered by hyperplastic glandular mucosa, consistent with hamartomatous polyps. Thus, PJS diagnosis was established in our patient and a surveillance programme was offered. Upper gastrointestinal (GI) endoscopy and small bowel capsule endoscopy were performed, revealing multiple hamartomatous polyps along the small bowel with no suspicion of gastrointestinal malignancies. Three months later, the patient was seen at the emergency department because of the abrupt onset of severe anal pain with a foreign body sensation in the anal canal and rectal bleeding. Physical examination revealed a giant, reddish-blue prolapsed polyp with a necrotic aspect.
constipation	HP:0002019
chronic abdominal pain 	HP:0002027
reddish-blue prolapsed polyp	HP:0002035
rectal bleeding	HP:0002573
hamartomatous polyps	HP:0004390
multilobulated polyps	HP:0005266
papillary surface	HP:0007482
hyperchromic spots on mucosal pallete	HP:0010284
abnormality of intestinal smooth muscle 	HP:0030935
multiple sessile polypoid lesions	HP:0032222
hyperchromic spots on the lips 	HP:0100816
rectal polyps	HP:0100896
severe anal pain	HP:0500005

5	
An 85-year-old man was referred to rheumatology with walking difficulties and elevation of serum creatine kinase (CK). Initial tests revealed elevated erythrocyte sedimentation rate (ESR) 76 mm/hour; normal C reactive protein (CRP) and serum CK of 525 IU/L. Antinuclear and extractable nuclear antibodies (including anti-Jo1) were negative. Investigations for myopathy included MRI Stir sequence (figure 1) demonstrated increased signal in the hip adductors bilaterally, consistent with symmetrical myositis. CT scan of the chest, abdomen and pelvis, requested to exclude occult cancer, revealed diffuse infiltration of the mesentery and retroperitoneal fat (figure 2), despite lack of abdominal symptoms. This appearance was initially considered suspicious of malignancy without an obvious primary lesion; however, mesenteric biopsy reported only hyaline fatty sclerosis. On follow-up, the patient described spontaneous bruising. Serum protein electrophoresis was initially normal, although urine for Bence-Jones protein showed Lambda light chain of 0.03 g/24 hours. The possibility of amyloidosis was considered, and Congo Red stain of the existing mesenteric biopsy was requested, which was positive. Bone marrow biopsy showed 15% plasma cells, and serum analysis demonstrated raised free light Lambda chain of 102 mg/L. The final diagnosis was systemic AL (lambda-type) amyloidosis, with muscle infiltration mimicking myositis. Two patterns of peritoneal amyloid have been described on imaging: diffuse and nodular types. Our patient had the diffuse pattern of peritoneal amyloid
generalized amyloid deposition	HP:0003216
elevated serum creatine kinase	HP:0003236
elevated erythrocyte sedimentation rate	HP:0003565
spontaneous bruising 	HP:0007420
systemic al amyloidosis	HP:0011034
muscle infiltration	HP:0012548
increased plasma cells 	HP:0030150
elevated lambda light chain 	HP:0032295
bence-jones proteinuria 	HP:0032303
symmetrical myositis 	HP:0100614

6	
